Timestamp,ImageFilename,RecognizedText
2025-06-04 14:35:06,plate_20250604_143506_057305_0000.jpg,KLA603,90
2025-06-04 14:35:17,plate_20250604_143517_293949_0001.jpg,6036,65
2025-06-04 14:35:49,plate_20250604_143549_898720_0002.jpg,L76030,100
2025-06-04 14:36:05,plate_20250604_143605_887995_0003.jpg,KL6032,100
2025-06-04 14:36:25,plate_20250604_143625_381962_0004.jpg,L6030,100
2025-06-04 14:36:36,plate_20250604_143636_916625_0005.jpg,KL3603,100
2025-06-04 14:36:48,plate_20250604_143648_181051_0006.jpg,KLK602,90
2025-06-04 14:37:00,plate_20250604_143700_592463_0007.jpg,MKLZ603,90
2025-06-04 14:37:40,plate_20250604_143740_307069_0008.jpg,KKL36032,100
2025-06-04 14:37:51,plate_20250604_143751_393334_0009.jpg,KL36036,100
2025-06-04 14:38:11,plate_20250604_143811_833469_0010.jpg,L36036,100
2025-06-04 14:38:22,plate_20250604_143822_924594_0011.jpg,KLR603,90
2025-06-04 15:14:50,plate_20250604_151450_682103_0012.jpg,L76036,100
2025-06-04 15:15:03,plate_20250604_151503_059700_0013.jpg,MKLA6030,100
2025-06-04 15:15:19,plate_20250604_151519_462711_0014.jpg,MKL7603,100
2025-06-04 15:15:38,plate_20250604_151538_667695_0015.jpg,MKL76030,100
2025-06-04 15:15:59,plate_20250604_151559_837934_0016.jpg,WKL,50
2025-06-04 15:16:24,plate_20250604_151624_701682_0017.jpg,MKL2603,100
2025-06-04 15:16:39,plate_20250604_151639_361231_0018.jpg,MKL5603,100
2025-06-04 15:16:59,plate_20250604_151659_534245_0019.jpg,MKL603,90
2025-06-04 15:17:13,plate_20250604_151713_128961_0020.jpg,MKL5603,100
2025-06-04 15:41:19,plate_20250604_154119_534663_0000.jpg,KLE6036,100
2025-06-04_16-02-52,plate_2025-06-04_16-02-52_0000.jpg,MKL6036
2025-06-04 16:30:02,plate_KL6036_20250604_163002_178372_0000.jpg,KL6036,90
2025-06-04 16:50:28,plate_76036KL_20250604_165028_910795_0000.jpg,76036 KL,90
2025-06-04 18:16:13,plate_KL6036_20250604_181613_827222_0000.jpg,KL6036
2025-06-05 09:19:59,plate_P603KL_20250605_091959_256646_0000.jpg,P 603 KL
2025-06-05 09:20:14,plate_MKL6036_20250605_092014_237862_0001.jpg,MKL 6036
2025-06-05 09:20:28,plate_L6036_20250605_092028_193596_0002.jpg,L 6036
2025-06-05 09:20:39,plate_60MKL_20250605_092039_289172_0003.jpg,60 MKL
2025-06-05 09:22:53,plate_MKL6030_20250605_092253_688237_0004.jpg,MKL6030
2025-06-05 09:27:03,plate_CAB8874_20250605_092703_823564_0005.jpg,CAB8874
